course_number,course_name,type,kind,lecturer,semester,ects,max_students,registered_students,no_dates_total,instute,email,level,study_area,university,curriculum,assessment_criteria,teaching_methods,language,other_information,study_subject,room_id
340.100,Algorithmen und Datenstrukturen 1,VO,Präsenz,Alois Ferscha,2024S,"3,00",200,194,14.0,I. Pervasive Computing,teaching@pervasive.jku.at,B1 - Bachelor 1. Jahr,Informatik,Johannes Kepler Universität Linz,Bachelorstudium Informatik,Klausur am Semesterende ,Foliengestützter Vortrag,Deutsch,https://www.pervasive.jku.at/Teaching/,Software,0
531.163,Analysis II,UE,Präsenz,Jan-Michael Holzinger,2024S,"2,00",25,10,8.0,A. MINT Didaktik,jan-michael.holzinger@jku.at,,,,,,,,,Not available,0
531.160,Analysis II,VO,Präsenz,Friedrich Pillichshammer,2024S,"3,00",100,98,29.0,A. MINT Didaktik,friedrich.pillichshammer@jku.at,,,,,,,,,Not available,0
256.906,Anwendung ERP-Systeme II,KS,Präsenz,N. N.,2024S,"3,00",60,60,2.0,I. WI Information Engineering,,,,,,,,,,Not available,0
239.141,Behavioral Economics,KS,Präsenz,Matthias Fahn,2024S,"3,00",200,147,10.0,I. Volkswirtschaftslehre,,B2 - Bachelor 2. Jahr,Volkswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftswissenschaften,Klausur,"Vortrag und Diskussion, Experimente",Englisch,,Wahlfächer,0
376.027,Bionics - biomimetic Materials and Polymers,VL,Präsenz,Oliver Brüggemann,2024S,"1,50",50,50,4.0,I. Chemie der Polymere,oliver.brueggemann@jku.at,M1 - Master 1. Jahr,Chemie,Johannes Kepler Universität Linz,Masterstudium Polymer Chemistry,(*)Oral examination,(*)LectureQuestions allowed during the lecture,English and German,,(*)Electives,0
257.350,Business Engineering & Management,UE,Präsenz,Harald Lerchner,2024S,"3,00",30,13,11.0,I. WI Communications Engineering,,M1 - Master 1. Jahr,Wirtschaftsinformatik,Johannes Kepler Universität Linz,Masterstudium Wirtschaftsinformatik,"Ausarbeitung, Präsentation und Diskussion von Fallbeispielen und Spezialthemen",Angeleitete Explorierung und Reflexion,Deutsch,,Spezialkompetenz Wirtschaftsinformatik,0
257.320,Business Engineering & Management,VL,Präsenz,Harald Lerchner,2024S,"3,00",40,33,11.0,I. WI Communications Engineering,,M1 - Master 1. Jahr,Wirtschaftsinformatik,Johannes Kepler Universität Linz,Masterstudium Wirtschaftsinformatik,Klausur (100%),"Impulsreferate, interaktive Elemente",Deutsch oder Englisch,,Spezialkompetenz Wirtschaftsinformatik,0
364.000,Computer Graphics,VO,Präsenz,Oliver Bimber,2024S,"3,00",200,185,12.0,I. für Computergrafik,oliver.bimber@jku.at,B3 - Bachelor 3. Jahr,Informatik,Johannes Kepler Universität Linz,Bachelorstudium Informatik,"Zwischenprüfung e-Exam (Moodle Test) 
abschließende e-Prüfung (Moodle-Test)",PowerPoint Slides,Englisch,,Anwendungen,0
258.300,Data & Knowledge Engineering,VL,Präsenz,Michael Schrefl,2024S,"3,00",200,132,14.0,I. WI Data & Knowledge Engineering,dke.win@jku.at,B2 - Bachelor 2. Jahr,Wirtschaftsinformatik,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftsinformatik,Klausur (gemeinsam mit Übungsklausur): 2 Teile je 60 Minuten,Siehe Studienmodul  Methoden und Konzepte des Data & Knowledge Engineering (Sonstige Informationen)	,Deutsch,Siehe Studienmodul  Methoden und Konzepte des Data & Knowledge Engineering,Data & Knowledge Engineering,0
