LVA-Nr.,LVA-Titel,Typ,Art,LeiterIn,Sem.,ECTS,SSt.,Nächster Termin,max_students,registered_students,no_dates_total,Abhaltungssprache_subinfo,Institut,E-Mail,Ausbildungslevel,Studienfachbereich,Anbietende Uni,Quellcurriculum,Beurteilungskriterien,Lehrmethoden,Abhaltungssprache_studyhandbook,Literatur,Lehrinhalte wechselnd?,Sonstige Informationen,Studienfach
340.100,Algorithmen und Datenstrukturen 1,VO,Präsenz,Alois Ferscha,2024S,"3,00","2,0",Di. 18.06.24 10:15 - 11:45,200,194,14.0,German,I. Pervasive Computing,teaching@pervasive.jku.at,B1 - Bachelor 1. Jahr,Informatik,Johannes Kepler Universität Linz,Bachelorstudium Informatik 2021S,Klausur am Semesterende ,Foliengestützter Vortrag,Deutsch,Folien werden im Kursbereich in Moodle zur Verfügung gestellt. Ergänzende Literatur wird in der Lehrveranstaltung bekannt gegeben. ,Nein,https://www.pervasive.jku.at/Teaching/,Software
531.163,Analysis II,UE,Präsenz,Jan-Michael Holzinger,2024S,"2,00","1,0",Mi. 19.06.24 13:45 - 15:15,25,10,8.0,German,A. MINT Didaktik,jan-michael.holzinger@jku.at,,,,,,,,,,,Not available
531.160,Analysis II,VO,Präsenz,Friedrich Pillichshammer,2024S,"3,00","3,0",Mo. 17.06.24 10:15 - 11:45,100,98,29.0,German,A. MINT Didaktik,friedrich.pillichshammer@jku.at,,,,,,,,,,,Not available
256.906,Anwendung ERP-Systeme II,KS,Präsenz,N. N.,2024S,"3,00","2,0",Do. 11.07.24 09:00 - 18:00,60,60,2.0,German,I. WI Information Engineering,,,,,,,,,,,,Not available
239.141,Behavioral Economics,KS,Präsenz,Matthias Fahn,2024S,"3,00","2,0",Di. 18.06.24 13:45 - 15:15,200,147,10.0,English,I. Volkswirtschaftslehre,,B2 - Bachelor 2. Jahr,Volkswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftswissenschaften 2020W 2021W,Klausur,"Vortrag und Diskussion, Experimente",Englisch,Folien,Nein,,Wahlfächer
376.027,Bionics - biomimetic Materials and Polymers,VL,Präsenz,Oliver Brüggemann,2024S,"1,50","1,0",Mo. 26.08.24 10:15 - 11:45,50,50,4.0,English,I. Chemie der Polymere,oliver.brueggemann@jku.at,M1 - Master 1. Jahr,Chemie,Johannes Kepler Universität Linz,Masterstudium Polymer Chemistry 2019W,(*)Oral examination,(*)LectureQuestions allowed during the lecture,English and German,"(*)a) Bionik, Werner Nachtigall.
b) Biomimetic Materials Chemistry, Stephen Mann.",Nein,,(*)Electives
257.350,Business Engineering & Management,UE,Präsenz,Harald Lerchner,2024S,"3,00","2,0",Do. 20.06.24 15:30 - 17:00,30,13,11.0,German,I. WI Communications Engineering,,M1 - Master 1. Jahr,Wirtschaftsinformatik,Johannes Kepler Universität Linz,Masterstudium Wirtschaftsinformatik 2016W,"Ausarbeitung, Präsentation und Diskussion von Fallbeispielen und Spezialthemen",Angeleitete Explorierung und Reflexion,Deutsch,Wird zu Beginn der Lehrveranstaltung seitens der Lehrveranstaltungsleitung bekannt gegeben.,Nein,,Spezialkompetenz Wirtschaftsinformatik
257.320,Business Engineering & Management,VL,Präsenz,Harald Lerchner,2024S,"3,00","2,0",Do. 20.06.24 13:45 - 15:15,40,33,11.0,German,I. WI Communications Engineering,,M1 - Master 1. Jahr,Wirtschaftsinformatik,Johannes Kepler Universität Linz,Masterstudium Wirtschaftsinformatik 2016W,Klausur (100%),"Impulsreferate, interaktive Elemente",Deutsch oder Englisch,Wird zu Beginn der Lehrveranstaltung seitens der Lehrveranstaltungsleitung bekannt gegeben.,Nein,,Spezialkompetenz Wirtschaftsinformatik
364.000,Computer Graphics,VO,Präsenz,Oliver Bimber,2024S,"3,00","2,0",Di. 18.06.24 13:45 - 15:15,200,185,12.0,English,I. für Computergrafik,oliver.bimber@jku.at,B3 - Bachelor 3. Jahr,Informatik,Johannes Kepler Universität Linz,Bachelorstudium Informatik 2021S,"Zwischenprüfung e-Exam (Moodle Test) 
abschließende e-Prüfung (Moodle-Test)",PowerPoint Slides,Englisch,"Fundamentals of Computer Graphics, Peter Shirley and Steve Marschner, CRC Press, A K Peters, ISBN: 1568814690, 2009
Transformations and Projections in Computer Graphics, David Salomon, Springer, ISBN: 9781846283925, 2006
Radiosity and Realistic Image Synthesis, Hanrahan and Greenberg, Morgan Kaufmann, ISBN: 0121782700, 1993
Real-Time Rendering, Akenine-Möller, Haines, and Hoffman, 3rd edition, AK Peters, ISBN: 1568814240, 2008
Information Visualization: Perception for Design, Colin Ware, Morgan Kaufmann, ISBN: 1558608192, 2004
Information Visualization: Design for Interaction, Robert Spence, Prentice Hall, ISBN: 978-0132065504, 2006
Real-Time Shading, Marc Olano, John Hart, and Wolfgang Heidrich, Peters, Wellesley, ISBN: 1568811802, 2002
Data Visualization: Principle and Practice, Alexandru C. Thela, AK Peters, CRC Press, ISBN: 978-1-56881-306-6, 2008",Nein,,Anwendungen
258.300,Data & Knowledge Engineering,VL,Präsenz,Michael Schrefl,2024S,"3,00","2,0",Mi. 19.06.24 12:00 - 13:30,200,132,14.0,German,I. WI Data & Knowledge Engineering,dke.win@jku.at,B2 - Bachelor 2. Jahr,Wirtschaftsinformatik,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftsinformatik 2022W,Klausur (gemeinsam mit Übungsklausur): 2 Teile je 60 Minuten,Siehe Studienmodul  Methoden und Konzepte des Data & Knowledge Engineering (Sonstige Informationen)	,Deutsch,"Basisliteratur: 
Garcia-Molina, H.; Ullman, J. D.; Widom, J.: Database Systems – The Complete Book. Prentice Hall, in der aktuellen Auflage. 
Russell, S; Norvig, P.: Artificial Intelligence. International Version. Addison Wesley, in der aktuellen Auflage.
Kemper, S.; Eickler, A.: Datenbank Systeme: Eine Einführung. Oldenbourg Verlag, in der aktuellen Auflage.
Ergänzungsliteratur wird in jedem Semester bekannt gegeben.",Nein,Siehe Studienmodul  Methoden und Konzepte des Data & Knowledge Engineering,Data & Knowledge Engineering
