LVA-Nummer,Wochentag,Datum,Startzeit,Endzeit,Ort,Anmerkung,exam,test,tutorium
340.100,Di.,09.04.24,10:15,11:45,HS 18,,False,False,False
340.100,Di.,16.04.24,10:15,11:45,HS 18,,False,False,False
340.100,Di.,23.04.24,10:15,11:45,HS 18,,False,False,False
340.100,Di.,07.05.24,10:15,11:45,HS 18,,False,False,False
340.100,Di.,14.05.24,10:15,11:45,HS 18,,False,False,False
340.100,Di.,04.06.24,10:15,11:45,HS 18,,False,False,False
340.100,Di.,11.06.24,10:15,11:45,HS 18,,False,False,False
340.100,Di.,18.06.24,10:15,11:45,HS 18,,False,False,False
531.163,Fr.,26.04.24,10:15,12:45,HS 18,1. Teilklausur,True,False,False
531.160,Di.,02.07.24,10:15,11:45,HS 18,,False,False,False
256.906,Do.,11.07.24,09:00,18:00,HS 18,,False,False,False
239.141,Mi.,10.07.24,13:45,15:15,HS 18,NK,True,False,False
376.027,Mo.,26.08.24,10:15,11:45,HS 18,EXAM,True,False,False
257.350,Do.,21.03.24,15:30,17:00,HS 18,,False,False,False
257.320,Do.,21.03.24,13:45,15:15,HS 18,,False,False,False
257.320,Mo.,03.02.25,13:45,15:15,HS 18,,False,False,False
364.000,Di.,05.03.24,13:45,15:15,HS 18,Introduction and Course Overview,False,False,False
364.000,Di.,12.03.24,13:45,15:15,HS 18,Transformations and Projections,False,False,False
364.000,Di.,19.03.24,13:45,15:15,HS 18,Raster Algorithms and Depth Handling,False,False,False
364.000,Di.,09.04.24,13:45,15:15,HS 18,Local Shading and Illumination,False,False,False
364.000,Di.,16.04.24,13:45,15:15,HS 18,Texture Mapping Basics,False,False,False
364.000,Di.,23.04.24,13:45,15:15,HS 18,Advanced Texture Mapping & Graphics Pipelines,False,False,False
364.000,Di.,30.04.24,13:45,15:15,HS 18,Intermediate Exam,True,False,False
364.000,Di.,07.05.24,13:45,15:15,HS 18,Global Illumination I: Raytracing,False,False,False
364.000,Di.,14.05.24,13:45,15:15,HS 18,Global Illumination II: Radiosity,False,False,False
364.000,Di.,28.05.24,13:45,15:15,HS 18,Volume Rendering,False,False,False
364.000,Di.,04.06.24,13:45,15:15,HS 18,Scientific Data Visualization,False,False,False
364.000,Di.,11.06.24,13:45,15:15,HS 18,Curves and Surfaces,False,False,False
364.000,Di.,18.06.24,13:45,15:15,HS 18,Basics of Animation,False,False,False
364.000,Di.,25.06.24,13:45,15:15,HS 18,Final Exam,True,False,False
258.300,Mi.,06.03.24,12:00,13:30,HS 18,"DKE: Introduction,  DBS: Concurrency Control",False,False,False
258.300,Mi.,13.03.24,12:00,13:30,HS 18,"DBS: Recovery, Query Optimization",False,False,False
258.300,Mi.,20.03.24,12:00,13:30,HS 18,DBS: OO & OR DBS,False,False,False
258.300,Mi.,10.04.24,12:00,13:30,HS 18,DBS: Distributed DBS,False,False,False
258.300,Mi.,17.04.24,12:00,13:30,HS 18,DBS: Fortsetzung Distributed DBS;  NoSQL Stores and NewSQL DBMS,False,False,False
258.300,Mi.,24.04.24,12:00,13:30,HS 18,"WebIS: XML, DBS: Temporal DBS",False,False,False
258.300,Mi.,08.05.24,12:00,13:30,HS 18,DBS: Active DBS and BREs,False,False,False
258.300,Mi.,15.05.24,12:00,13:30,HS 18,DBS: Deductive DBS; KBS: Introduction,False,False,False
258.300,Mi.,22.05.24,12:00,13:30,HS 18,"KBS: Logic-based Knowl. Repr & Reas, Heuristic Search, Gen. Algo.",False,False,False
